Sentences,Sentiment,Positive,Negative,Neutral,Compound
"Sometimes he would comment to
them on the things he had seen in the villages they passed.
But for the past few days he had spoken to them about only one thing: the
girl, the daughter of a merchant who lived in the village they would reach in
about four days","{'neg': 0.0, 'neu': 0.977, 'pos': 0.023, 'compound': 0.0387}",0.023,0.0,0.977,0.0387
"He had been to the village only once, the year before","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"The
merchant was the proprietor of a dry goods shop, and he always demanded
that the sheep be sheared in his presence, so that he would not be cheated","{'neg': 0.062, 'neu': 0.85, 'pos': 0.088, 'compound': 0.2028}",0.088,0.062,0.85,0.2028
"A
friend had told the boy about the shop, and he had taken his sheep there.
*
""I need to sell some wool,"" the boy told the merchant.
The shop was busy , and the man asked the shepherd to wait until the
afternoon","{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.4939}",0.074,0.0,0.926,0.4939
"So the boy sat on the steps of the shop and took a book from his
bag.
""I didn't know shepherds knew how to read,"" said a girl's voice behind him.
The girl was typical of the region of Andalusia, with flowing black hair , and
eyes that vaguely recalled the Moorish conquerors.
""Well, usually I learn more from my sheep than from books,"" he answered.
During the two hours that they talked, she told him she was the merchant's
daughter , and spoke of life in the village, where each day was like all the
others","{'neg': 0.0, 'neu': 0.973, 'pos': 0.027, 'compound': 0.3612}",0.027,0.0,0.973,0.3612
"The shepherd told her of the Andalusian countryside, and related the
news from the other towns where he had stopped","{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.2263}",0.0,0.091,0.909,-0.2263
"It was a pleasant change
from talking to his sheep.
""How did you learn to read?"" the girl asked at one point.
""Like everybody learns,"" he said","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.7003}",0.195,0.0,0.805,0.7003
"""In school.""
""Well, if you know how to read, why are you just a shepherd?""","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"The boy mumbled an answer that allowed him to avoid responding to her
question","{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}",0.0,0.145,0.855,-0.296
He was sure the girl would never understand,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.3182}",0.247,0.0,0.753,0.3182
"He went on telling
stories about his travels, and her bright, Moorish eyes went wide with fear
and surprise","{'neg': 0.132, 'neu': 0.661, 'pos': 0.207, 'compound': 0.2023}",0.207,0.132,0.661,0.2023
"As the time passed, the boy found himself wishing that the day
would never end, that her father would stay busy and keep him waiting for
three days","{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.2263}",0.066,0.0,0.934,0.2263
"He recognized that he was feeling something he had never
experienced before: the desire to live in one place forever ","{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4939}",0.189,0.0,0.811,0.4939
"With the girl
with the raven hair , his days would never be the same again.
But finally the merchant appeared, and asked the boy to shear four sheep.
He paid for the wool and asked the shepherd to come back the following
year.
*
And now it was only four days before he would be back in that same
village","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"He was excited, and at the same time uneasy: maybe the girl had
already for gotten him","{'neg': 0.13, 'neu': 0.75, 'pos': 0.12, 'compound': -0.0516}",0.12,0.13,0.75,-0.0516
"Lots of shepherds passed through, selling their wool.
""It doesn't matter ,"" he said to his sheep","{'neg': 0.063, 'neu': 0.937, 'pos': 0.0, 'compound': -0.0191}",0.0,0.063,0.937,-0.0191
"""I know other girls in other places.""
But in his heart he knew that it did matter ","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.0387}",0.067,0.0,0.933,0.0387
"And he knew that shepherds, like
seamen and like traveling salesmen, always found a town where there was
someone who could make them for get the joys of carefree wandering.
The day was dawning, and the shepherd ur ged his sheep in the direction of
the sun","{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.872}",0.206,0.0,0.794,0.872
"They never have to make any decisions, he thought","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Maybe that's
why they always stay close to me.
The only things that concerned the sheep were food and water ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"As long as
the boy knew how to find the best pastures in Andalusia, they would be his
friends","{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.8074}",0.3,0.0,0.7,0.8074
"Y es, their days were all the same, with the seemingly endless hours
between sunrise and dusk; and they had never read a book in their young
lives, and didn't understand when the boy told them about the sights of the
cities","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"They were content with just food and water , and, in exchange, they
generously gave of their wool, their company , and—once in a while—their
meat.","{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.4215}",0.113,0.0,0.887,0.4215
"If I became a monster today , and decided to kill them, one by one, they
would become aware only after most of the flock had been slaughtered,
thought the boy ","{'neg': 0.148, 'neu': 0.852, 'pos': 0.0, 'compound': -0.6908}",0.0,0.148,0.852,-0.6908
"They trust me, and they've for gotten how to rely on their
own instincts, because I lead them to nourishment.
The boy was surprised at his thoughts","{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.6369}",0.178,0.0,0.822,0.6369
"Maybe the church, with the
sycamore growing from within, had been haunted","{'neg': 0.209, 'neu': 0.676, 'pos': 0.115, 'compound': -0.34}",0.115,0.209,0.676,-0.34
"It had caused him to
have the same dream for a second time, and it was causing him to feel anger
toward his faithful companions","{'neg': 0.125, 'neu': 0.709, 'pos': 0.166, 'compound': 0.0516}",0.166,0.125,0.709,0.0516
"He drank a bit from the wine that remained
from his dinner of the night before, and he gathered his jacket closer to his
body ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"He knew that a few hours from now , with the sun at its zenith, the
heat would be so great that he would not be able to lead his flock across the
fields","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.7384}",0.145,0.0,0.855,0.7384
"It was the time of day when all of Spain slept during the summer .
The heat lasted until nightfall, and all that time he had to carry his jacket.
But when he thought to complain about the burden of its weight, he
remembered that, because he had the jacket, he had withstood the cold of
the dawn.
We have to be prepared for change, he thought, and he was grateful for the
jacket's weight and warmth.
The jacket had a purpose, and so did the boy ","{'neg': 0.073, 'neu': 0.821, 'pos': 0.106, 'compound': 0.5023}",0.106,0.073,0.821,0.5023
"His purpose in life was to
travel, and, after two years of walking the Andalusian terrain, he knew all
the cities of the region","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"He was planning, on this visit, to explain to the girl
how it was that a simple shepherd knew how to read","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"That he had attended a
seminary until he was sixteen","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"His parents had wanted him to become a
priest, and thereby a source of pride for a simple farm family ","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.34}",0.13,0.0,0.87,0.34
"They worked
hard just to have food and water , like the sheep","{'neg': 0.101, 'neu': 0.719, 'pos': 0.18, 'compound': 0.2732}",0.18,0.101,0.719,0.2732
"He had studied Latin,
Spanish, and theology ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"But ever since he had been a child, he had wanted to
know the world, and this was much more important to him than knowing
God and learning about man's sins","{'neg': 0.11, 'neu': 0.744, 'pos': 0.146, 'compound': 0.0745}",0.146,0.11,0.744,0.0745
"One afternoon, on a visit to his family ,
he had summoned up the courage to tell his father that he didn't want to
become a priest","{'neg': 0.046, 'neu': 0.833, 'pos': 0.121, 'compound': 0.4548}",0.121,0.046,0.833,0.4548
"That he wanted to travel.
*
""People from all over the world have passed through this village, son,"" said
his father ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"""They come in search of new things, but when they leave they","{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.0772}",0.0,0.106,0.894,-0.0772
are basically the same people they were when they arrived,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"They climb the
mountain to see the castle, and they wind up thinking that the past was
better than what we have now ","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.4404}",0.116,0.0,0.884,0.4404
"They have blond hair , or dark skin, but
basically they're the same as the people who live right here.""
""But I'd like to see the castles in the towns where they live,"" the boy
explained.
""Those people, when they see our land, say that they would like to live here
forever ,"" his father continued.
""Well, I'd like to see their land, and see how they live,"" said his son.
""The people who come here have a lot of money to spend, so they can
afford to travel,"" his father said","{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.8674}",0.101,0.0,0.899,0.8674
"""Amongst us, the only ones who travel are
the shepherds.""
""Well, then I'll be a shepherd!""
His father said no more","{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.3595}",0.0,0.116,0.884,-0.3595
"The next day , he gave his son a pouch that held
three ancient Spanish gold coins.
""I found these one day in the fields","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"I wanted them to be a part of your
inheritance","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
But use them to buy your flock,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"T ake to the fields, and someday
you'll learn that our countryside is the best, and our women the most
beautiful.""
And he gave the boy his blessing","{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.8126}",0.228,0.0,0.772,0.8126
"The boy could see in his father's gaze a
desire to be able, himself, to travel the world—a desire that was still alive,
despite his father's having had to bury it, over dozens of years, under the
burden of struggling for water to drink, food to eat, and the same place to
sleep every night of his life.
*
The horizon was tinged with red, and suddenly the sun appeared","{'neg': 0.074, 'neu': 0.821, 'pos': 0.104, 'compound': 0.3182}",0.104,0.074,0.821,0.3182
"The boy
thought back to that conversation with his father , and felt happy; he had
already seen many castles and met many women (but none the equal of the","{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5719}",0.117,0.0,0.883,0.5719
one who awaited him several days hence),"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.0258}",0.0,0.155,0.845,-0.0258
"He owned a jacket, a book that
he could trade for another , and a flock of sheep","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"But, most important, he
was able every day to live out his dream","{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6297}",0.318,0.0,0.682,0.6297
"If he were to tire of the
Andalusian fields, he could sell his sheep and go to sea","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"By the time he had
had enough of the sea, he would already have known other cities, other
women, and other chances to be happy ","{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.6705}",0.193,0.0,0.807,0.6705
"I couldn't have found God in the
seminary , he thought, as he looked at the sunrise.
Whenever he could, he sought out a new road to travel","{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.2057}",0.0,0.07,0.93,-0.2057
"He had never been
to that ruined church before, in spite of having traveled through those parts
many times","{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.7579}",0.0,0.277,0.723,-0.7579
"The world was huge and inexhaustible; he had only to allow
his sheep to set the route for a while, and he would discover other
interesting things","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.7096}",0.231,0.0,0.769,0.7096
"The problem is that they don't even realize that they're
walking a new road every day ","{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4019}",0.0,0.162,0.838,-0.4019
"They don't see that the fields are new and the
seasons change","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"All they think about is food and water .
Maybe we're all that way , the boy mused","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Even me—I haven't thought of
other women since I met the merchant's daughter ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Looking at the sun, he
calculated that he would reach T arifa before midday ","{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.0258}",0.084,0.0,0.916,0.0258
"There, he could
exchange his book for a thicker one, fill his wine bottle, shave, and have a
haircut; he had to prepare himself for his meeting with the girl, and he didn't
want to think about the possibility that some other shepherd, with a lar ger
flock of sheep, had arrived there before him and asked for her hand.
It's the possibility of having a dream come true that makes life interesting,
he thought, as he looked again at the position of the sun, and hurried his
pace","{'neg': 0.013, 'neu': 0.87, 'pos': 0.116, 'compound': 0.8583}",0.116,0.013,0.87,0.8583
"He had suddenly remembered that, in T arifa, there was an old woman
who interpreted dreams.
*
The old woman led the boy to a room at the back of her house; it was
separated from her living room by a curtain of colored beads","{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.4019}",0.063,0.0,0.937,0.4019
"The room's
furnishings consisted of a table, an image of the Sacred Heart of Jesus, and
two chairs.
The woman sat down, and told him to be seated as well","{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.2732}",0.07,0.0,0.93,0.2732
"Then she took both
of his hands in hers, and began quietly to pray .","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.3182}",0.15,0.0,0.85,0.3182
It sounded like a Gypsy prayer ,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.385,0.0,0.615,0.3612
"The boy had already had experience on the
road with Gypsies; they also traveled, but they had no flocks of sheep.
People said that Gypsies spent their lives tricking others","{'neg': 0.088, 'neu': 0.876, 'pos': 0.036, 'compound': -0.3919}",0.036,0.088,0.876,-0.3919
"It was also said
that they had a pact with the devil, and that they kidnapped children and,
taking them away to their mysterious camps, made them their slaves","{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.6597}",0.0,0.14,0.86,-0.6597
"As a
child, the boy had always been frightened to death that he would be
captured by Gypsies, and this childhood fear returned when the old woman
took his hands in hers.
But she has the Sacred Heart of Jesus there, he thought, trying to reassure
himself","{'neg': 0.126, 'neu': 0.814, 'pos': 0.06, 'compound': -0.34}",0.06,0.126,0.814,-0.34
"He didn't want his hand to begin trembling, showing the old
woman that he was fearful","{'neg': 0.443, 'neu': 0.557, 'pos': 0.0, 'compound': -0.8201}",0.0,0.443,0.557,-0.8201
"He recited an Our Father silently .
""Very interesting,"" said the woman, never taking her eyes from the boy's
hands, and then she fell silent.
The boy was becoming nervous","{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.2732}",0.0,0.07,0.93,-0.2732
"His hands began to tremble, and the
woman sensed it","{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.2732}",0.0,0.189,0.811,-0.2732
"He quickly pulled his hands away .
""I didn't come here to have you read my palm,"" he said, already regretting
having come","{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.4019}",0.0,0.114,0.886,-0.4019
"He thought for a moment that it would be better to pay her fee
and leave without learning a thing, that he was giving too much importance
to his recurrent dream.
""You came so that you could learn about your dreams,"" said the old woman.
""And dreams are the language of God","{'neg': 0.044, 'neu': 0.709, 'pos': 0.247, 'compound': 0.9001}",0.247,0.044,0.709,0.9001
"When he speaks in our language, I
can interpret what he has said","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"But if he speaks in the language of the soul,
it is only you who can understand","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"But, whichever it is, I'm going to char ge
you for the consultation.""
Another trick, the boy thought","{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.0772}",0.0,0.071,0.929,-0.0772
But he decided to take a chance,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.333,0.0,0.667,0.3612
"A shepherd
always takes his chances with wolves and with drought, and that's what
makes a shepherd's life exciting.
""I have had the same dream twice,"" he said","{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.7184}",0.233,0.0,0.767,0.7184
"""I dreamed that I was in a field
with my sheep, when a child appeared and began to play with the animals","{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}",0.118,0.0,0.882,0.34
I,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0
"don't like people to do that, because the sheep are afraid of strangers","{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.2755}",0.0,0.15,0.85,-0.2755
"But
children always seem to be able to play with them without frightening them.
I don't know why ","{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.7609}",0.304,0.0,0.696,0.7609
"I don't know how animals know the age of human
beings.""
""Tell me more about your dream,"" said the woman","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"""I have to get back to
my cooking, and, since you don't have much money , I can't give you a lot of
time.""
""The child went on playing with my sheep for quite a while,"" continued the
boy, a bit upset","{'neg': 0.066, 'neu': 0.888, 'pos': 0.046, 'compound': -0.2023}",0.046,0.066,0.888,-0.2023
"""And suddenly , the child took me by both hands and
transported me to the Egyptian pyramids.""
He paused for a moment to see if the woman knew what the Egyptian
pyramids were","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"But she said nothing.
""Then, at the Egyptian pyramids,""—he said the last three words slowly , so
that the old woman would understand—""the child said to me, If you come
here, you will find a hidden treasure.' And, just as she was about to show
me the exact location, I woke up","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Both times.""
The woman was silent for some time","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Then she again took his hands and
studied them carefully .
""I'm not going to char ge you anything now ,"" she said","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.128}",0.067,0.0,0.933,0.128
"""But I want one-tenth
of the treasure, if you find it.""
The boy laughed—out of happiness","{'neg': 0.0, 'neu': 0.567, 'pos': 0.433, 'compound': 0.8462}",0.433,0.0,0.567,0.8462
"He was going to be able to save the
little money he had because of a dream about hidden treasure!
""Well, interpret the dream,"" he said.
""First, swear to me","{'neg': 0.035, 'neu': 0.738, 'pos': 0.227, 'compound': 0.7574}",0.227,0.035,0.738,0.7574
"Swear that you will give me one-tenth of your treasure
in exchange for what I am going to tell you.""
The shepherd swore that he would","{'neg': 0.045, 'neu': 0.871, 'pos': 0.083, 'compound': 0.25}",0.083,0.045,0.871,0.25
"The old woman asked him to swear
again while looking at the image of the Sacred Heart of Jesus.","{'neg': 0.062, 'neu': 0.938, 'pos': 0.0, 'compound': -0.0516}",0.0,0.062,0.938,-0.0516
"""It's a dream in the language of the world,"" she said","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.25}",0.182,0.0,0.818,0.25
"""I can interpret it, but
the interpretation is very dif ficult","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"That's why I feel that I deserve a part of
what you find.
""And this is my interpretation: you must go to the Pyramids in Egypt","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"I
have never heard of them, but, if it was a child who showed them to you,
they
exist","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"There you will find a treasure that will make you a rich man.""
The boy was surprised, and then irritated","{'neg': 0.121, 'neu': 0.567, 'pos': 0.312, 'compound': 0.5719}",0.312,0.121,0.567,0.5719
"He didn't need to seek out the old
woman for this! But then he remembered that he wasn't going to have to
pay anything.
""I didn't need to waste my time just for this,"" he said.
""I told you that your dream was a dif ficult one","{'neg': 0.032, 'neu': 0.853, 'pos': 0.115, 'compound': 0.6358}",0.115,0.032,0.853,0.6358
"It's the simple things in life
that are the most extraordinary; only wise men are able to understand them.
And since I am not wise, I have had to learn other arts, such as the reading
of palms.""
""Well, how am I going to get to Egypt?""
""I only interpret dreams","{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.8565}",0.173,0.0,0.827,0.8565
I don't know how to turn them into reality ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"That's
why I have to live of f what my daughters provide me with.""
""And what if I never get to Egypt?""
""Then I don't get paid","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"It wouldn't be the first time.""
And the woman told the boy to leave, saying she had already wasted too
much time with him.
So the boy was disappointed; he decided that he would never again believe
in dreams","{'neg': 0.166, 'neu': 0.774, 'pos': 0.06, 'compound': -0.5859}",0.06,0.166,0.774,-0.5859
"He remembered that he had a number of things he had to take
care of: he went to the market for something to eat, he traded his book for
one that was thicker , and he found a bench in the plaza where he could
sample the new wine he had bought","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.5423}",0.087,0.0,0.913,0.5423
"The day was hot, and the wine was
refreshing","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"The sheep were at the gates of the city , in a stable that belonged","{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.296}",0.155,0.0,0.845,0.296
to a friend,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.4939}",0.762,0.0,0.238,0.4939
The boy knew a lot of people in the city ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"That was what made
traveling appeal to him—he always made new friends, and he didn't need to
spend all of his time with them","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4767}",0.119,0.0,0.881,0.4767
"When someone sees the same people every
day, as had happened with him at the seminary , they wind up becoming a
part of that person's life","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
And then they want the person to change,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.0772}",0.157,0.0,0.843,0.0772
"If
someone isn't what others want them to be, the others become angry .
Everyone seems to have a clear idea of how other people should lead their
lives, but none about his or her own.
He decided to wait until the sun had sunk a bit lower in the sky before
following his flock back through the fields","{'neg': 0.101, 'neu': 0.869, 'pos': 0.03, 'compound': -0.5042}",0.03,0.101,0.869,-0.5042
"Three days from now , he would
be with the merchant's daughter .
He started to read the book he had bought","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"On the very first page it
described a burial ceremony ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"And the names of the people involved were
very dif ficult to pronounce","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
